1012-12800A	165 Mathewson Place Southwest	Atlanta	GA	30314	Fulton	December 3, 2019
1012-12808A	1564 Melrose Drive SW	Atlanta	GA	30310	Fulton	December 3, 2019
1016-4716A	3381 Palm Circle	Kennesaw	GA	30144	Cobb	December 3, 2019	View on Auction.com
1016-4720A	6052 Golf View Crossing	Locust Grove	GA	30248	Henry	December 3, 2019	View on Auction.com
1016-4728A	18 Pecan Trace	Newnan	GA	30265	Coweta	December 3, 2019	View on Auction.com
1017-2855A	3664 Pine Street	Atlanta	GA	30340	Dekalb	December 3, 2019	View on Auction.com
1012-11674A	2580 Spring Creek Drive	Bainbridge	GA	31717	Decatur	December 3, 2019
1012-12437A	927 Queensbrooke Way	Mableton	GA	30126	Cobb	December 3, 2019	View on Auction.com
1012-12499A	2367 Wilshire Way	Douglasville	GA	30135	Douglas	December 3, 2019	View on Auction.com
1012-12618A	2560 Oak Creek Lane	Conyers	GA	30094	Rockdale	December 3, 2019
1012-12619A	3100 Baywood Court	Conyers	GA	30013	Rockdale	December 3, 2019
1012-12671A	2965-67 Revere Court	Atlanta	GA	30344	Fulton	December 3, 2019
1012-12686A	1967 Redwood Trace	Ellenwood	GA	30294	Dekalb	December 3, 2019
1012-12716A	3890 Stone Lakes Drive NW	Kennesaw	GA	30152	Cobb	December 3, 2019	View on Auction.com
1012-12735A	5815 Rolling Oaks Drive	Cumming	GA	30040	Forsyth	December 3, 2019
1010-1554A	368 Miller Rd.	Blakely	GA	39823	Miller	December 3, 2019	View on Auction.com
1010-1557A	631 Cairo Rd.	Camilla	GA	31730	Mitchell	December 3, 2019	$77,241.95
1012-10867A	1912 Robinhood Rd	Albany	GA	31707	Dougherty	December 3, 2019
1012-10946A	1247 Foxcreek Drive	McDonough	GA	30252	Henry	December 3, 2019	View on Auction.com
1012-11260A	109 Gelding Garth	Peachtree City	GA	30269	Fayette	December 3, 2019
1012-11322A	1311 Lucky St	Griffin	GA	30223	Spalding	December 3, 2019
1000-14937A	2045 Dutchess Road	Lithia Springs	GA	30122	Douglas	December 3, 2019	View on Auction.com
1000-8019A	40 Oak Street	Hampton	GA	30228	Henry	December 3, 2019	View on Auction.com
1006-3404A	405 Martin Creek Way	Lawrenceville	GA	30045	Gwinnett	December 3, 2019	View on Auction.com
1006-3406A	670 Dent Rd	Odum	GA	31555	Wayne	December 3, 2019	View on Auction.com
1006-3409A	3044 Ohara Dr N	Macon	GA	3120	Bibb	December 3, 2019
1006-3413A	4671 Brandi Bay	Lithonia	GA	30038	Dekalb	December 3, 2019	View on Auction.com
1006-3419A	6600 Ashbrooke Drive	Douglasville	GA	30135	Douglas	December 3, 2019	View on Auction.com
1008-080A	3013 Lake Park Court	Acworth	GA	30101	Cobb	December 3, 2019	$180,950.00
1008-083A	123 Luckie St NW, Apt 1403	Atlanta	GA	30303	Fulton	December 3, 2019
1000-14795A	873 Mitchell Road	Commerce	GA	30529	Jackson	December 3, 2019	View on Auction.com
1000-14799A	584 Brent Court	Stone Mountain	GA	30087	Dekalb	December 3, 2019	View on Auction.com
1000-14807A	105 Hazel Way	Lagrange	GA	30241	Troup	December 3, 2019	View on Auction.com
1000-14808A	230 Blue Heron Lane	Alpharetta	GA	30004	Fulton	December 3, 2019	View on Auction.com
1000-14816A	242 Bluff Drive	Eden	GA	31307	Effingham	December 3, 2019	View on Auction.com
1000-14831A	5916 Musket Lane	Stone Mountain	GA	30087	Dekalb	December 3, 2019	View on Auction.com
1000-14855A	303 Spring Valley Drive	Byron	GA	31008	Crawford	December 3, 2019	View on Auction.com
1000-14884A	4501 Kiowa Lane	Hahira	GA	31632	Lowndes	December 3, 2019	View on Auction.com
1000-14887A	1130 Orman St	Dalton	GA	30721	Whitfield	December 3, 2019	View on Auction.com
1000-14624A	176 Dallas Circle	Folkston	GA	31537	Charlton	December 3, 2019	View on Auction.com
1000-14659A	869 Sparkleberry Road	Evans	GA	30809	Columbia	December 3, 2019
1000-14664A	4064 Bandy Road	Ringgold	GA	30736	Catoosa	December 3, 2019	View on Auction.com
1000-14708A	1301 Aycock Road	Bishop	GA	30621	Oconee	December 3, 2019	View on Auction.com
1000-14747A	312 East 60th Street	Savannah	GA	31405	Chatham	December 3, 2019	View on Auction.com
1000-14781A	1584 Rogers Crossing Drive	Lithonia	GA	30058	Dekalb	December 3, 2019	View on Auction.com
1000-14783A	28 Pine Lane Drive	Athens	GA	30601	Clarke	December 3, 2019	View on Auction.com
1000-14784A	2011 Rays Church Road	Bishop	GA	30621	Oconee	December 3, 2019	View on Auction.com
1000-14785A	606 Whatley Dr	Ashburn	GA	31714	Turner	December 3, 2019	View on Auction.com
1000-11334A	2706 Fern Valley Dr.	East Point	GA	30344	Fulton	December 3, 2019	View on Auction.com
1000-13207A	80 Fairfield Drive	Ellenwood	GA	30294	Henry	December 3, 2019
1000-13745A	4335 Braddock Drive	Columbus	GA	31907	Muscogee	December 3, 2019
1000-14426A	315 Sundew Ln	Mount Airy	GA	30563	Habersham	December 3, 2019	View on Auction.com
1000-14444A	116 Summerfield Drive	Mcdonough	GA	30253	Henry	December 3, 2019	View on Auction.com
1000-14466A	663 Woodward Avenue SE	Atlanta	GA	30312	Fulton	December 3, 2019	View on Auction.com
