01/07/2020	NAT-19-01800-10	1290 Nunnally Farm Rd	Monroe	30655	Walton	Go to Auction.com
01/07/2020	BMT-16-01491-4	1748 Walton Rd	Monroe	30656	Walton	Go to Auction.com
01/07/2020	BVF-19-06713-1	282 Bobolink Dr	Monticello	31064	Jasper	Not Available
01/07/2020	NAT-19-06689-1	5335 Wyntree Ct	Peachtree Corners	30071	Gwinnett	Go to Auction.com
01/07/2020	SPS-17-06713-21	239 Lake Joy Road	Perry	31069	Houston	Go to Auction.com
01/07/2020	BSI-19-00300-3	3842 Augustine Place	Rex	30273	Clayton	Not Available
01/07/2020	BVF-17-01188-5	6148 Dorchester Dr	Rex	30273	Clayton	Not Available
01/07/2020	AMI-18-02976-5	6121 Radford Dr	Riverdale	30296	Clayton	Not Available
01/07/2020	BSI-19-02587-3	652 Goodyear Ave	Rockmart	30153	Polk	Not Available
01/07/2020	BVF-19-00837-1	1763 Old Ringgold Rd	Rocky Face	30740	Whitfield	Not Available
01/07/2020	RMU-19-03286-2	12 Lombardy Way Se	Rome	30161	Floyd	Not Available
01/07/2020	FREM-16-08090-8	1120 Rolling Dr	Rossville	30741	Walker	Go to Auction.com
01/07/2020	BVF-19-05956-1	196 Westside Dr	Rossville	30741	Catoosa	Not Available
01/07/2020	NAT-19-06731-1	1108 Walden Park Drive 1108	Savannah	31410	Chatham	Go to Auction.com
01/07/2020	FREM-19-00613-2	123 Cumberland Way	Savannah	31407	Chatham	Go to Auction.com
01/07/2020	DMI-18-04629-1	2044 Speir St	Savannah	31406	Chatham	Not Available
01/07/2020	SEF-19-06019-1	205 Delyon St	Savannah	31415	Chatham	Not Available
01/07/2020	RMS-19-03358-6	4239 Hardy Avenue	Smyrna	30082	Cobb	Go to Auction.com
01/07/2020	LNC-19-04069-1	4060 Blackhawk Dr	Stone Mountain	30083	DeKalb	Not Available
01/07/2020	BAC-18-04264-9	418 Miguel Ct	Stone Mountain	30083	DeKalb	Go to Auction.com
01/07/2020	BSI-17-03197-11	5079 South Woodbridge Trial	Stone Mountain	30088	DeKalb	Not Available
01/07/2020	CMC-19-04465-1	947 Brighton Crest Cir	Stone Mountain	30087	DeKalb	Not Available
01/07/2020	PNY-18-05800-10	1314 Park Pass Way	Suwanee	30024	Gwinnett	Not Available
01/07/2020	AMI-19-02538-3	110 Pleasant Forest Dr.	Temple	30179	Paulding	Not Available
01/07/2020	BVF-18-08000-10	116 Ridge Crossing	Temple	30179	Carroll	Not Available
01/07/2020	BVF-18-05880-3	832 Mimosa Street	Thomson	30824	McDuffie	Not Available
01/07/2020	LNC-16-08294-14	118 S Pickett St	Ty Ty	31795	Tift	Not Available
01/07/2020	BSI-19-01997-4	611 E Adair St	Valdosta	31601	Lowndes	Not Available
01/07/2020	NAT-19-06723-1	4375 Colham Ferry Rd	Watkinsville	30677	Oconee	Go to Xome.com
01/07/2020	QKN-19-07211-1	2104 Mayfair Pl	Waycross	31501	Ware	Go to Auction.com
01/07/2020	BVF-19-05787-1	801 Ava St	Waycross	31501	Ware	Not Available
01/07/2020	AMI-10-05493-24	1206 6th Avenue	West Point	31833	Troup	Not Available
01/07/2020	BVF-19-05578-1	3787 Pine Lake Rd	West Point	31833	Harris	Not Available
01/07/2020	CMS-19-00161-12	265 Huntington Way	Williamson	30292	Pike	Go to hubzu.com
02/04/2020	LNC-18-06548-17	117 Reunion Place	Acworth	30102	Cherokee	Go to Auction.com
02/04/2020	BVF-19-04304-1	1181 Lee St. Sw	Atlanta	30310	Fulton	Not Available
02/04/2020	FAY-19-07184-1	1420 Donnelly Ave Sw	Atlanta	30310	Fulton	Not Available
02/04/2020	CMS-14-02087-5	4810 Welcome All Road Sw	Atlanta	30349	Fulton	Not Available
02/04/2020	MTB-18-05442-7	2903 Morehall Dr	Augusta	30906	Richmond	Go to Auction.com
02/04/2020	KCP-19-05933-2	1846 Asbury Church Rd	Baxley	31513	Appling	Not Available
02/04/2020	SHP-19-07277-1	140 Shadyfield Lane	Bishop	30621-0000	Oconee	Go to Auction.com
02/04/2020	PNY-19-02362-2	18 Jill Lane	Cartersville	30120	Bartow	Go to Auction.com
02/04/2020	NAT-19-06816-1	63 Quail Run	Cartersville	30120	Bartow	Go to Xome.com
02/04/2020	KCP-19-01365-3	4913 Georgia Highway 129 South	Claxton	30417	Evans	Not Available
02/04/2020	RMS-19-06114-1	2908 Lothridge Rd	Cleveland	30528	White	Go to Auction.com
02/04/2020	BVF-19-07089-1	3015 Urban Ave	Columbus	31907	Muscogee	Not Available
02/04/2020	LNC-19-06758-1	5770 Germantown Road	Columbus	31907	Muscogee	Go to Auction.com
02/04/2020	BVF-19-07510-1	773 Crestline Dr	Columbus	31907	Muscogee	Not Available
02/04/2020	TMS-19-06656-1	2030 Spring Ct Se	Conyers	30013	Rockdale	Go to Auction.com
02/04/2020	CBN-19-07307-1	40 Streamside Dr	Covington	30016	Newton	Not Available
02/04/2020	MTB-16-02888-1	3365 Shady Cove Road	Cumming	30041	Forsyth	Not Available
